DATE,PRICE,PE_RATIO,PX_TO_BOOK_RATIO,EPS_GROWTH,TOT_DEBT_TO_TOT_EQY,PX_TO_FREE_CASH_FLOW,Return_COM_EQY,Return_ON_ASSET,CUR_MKT_CAP,BETA_MINUS
6/3/13,35.07,14.9518,2.1612,11.6667,83.9186,9.9808,7.6518,2.7316,188676.6,0.5796
7/1/13,35.3,14.9845,2.1904,5.9701,87.0915,10.3165,7.7143,2.7118,189914,0.5937
8/1/13,35.72,15.1628,2.2165,5.9701,87.0915,10.4393,7.7143,2.7118,190566.2,0.6008
9/3/13,33.32,14.144,2.0676,5.9701,87.0915,9.7379,7.7143,2.7118,176962.52,0.5898
10/1/13,34.06,13.6953,2.0982,14.2857,88.4976,11.6715,8.013,2.7626,180892.66,0.6053
11/1/13,36.24,14.5719,2.2325,14.2857,88.4976,12.4186,8.013,2.7626,191347.2,0.6275
12/2/13,34.8,13.9929,2.1438,14.2857,88.4976,11.9251,8.013,2.7626,183744,0.6435
1/2/14,34.95,13.3901,2.0075,14.2857,81.7516,13.5758,19.9062,6.6348,184536,0.6529
2/3/14,31.95,12.2407,1.8352,14.2857,81.7516,12.4105,19.9062,6.6348,166970.7,0.6697
3/3/14,31.86,12.2062,1.83,14.2857,81.7516,12.3756,19.9062,6.6348,165890.2286,0.6481
4/1/14,35.09,13.1623,2.0051,4.4776,87.4213,14.329,20.3517,6.5432,182708.3528,0.6553
5/1/14,35.58,13.3461,2.0331,4.4776,87.4213,14.5291,20.3517,6.5432,184838.1,0.583
6/2/14,35.44,13.2936,2.0251,4.4776,87.4213,14.472,20.3517,6.5432,183933.6,0.6335
7/1/14,35.48,13.5705,1.999,-4.2254,90.7444,16.9132,20.1368,6.3392,184141.2,0.6522
8/1/14,35.33,13.5131,1.9905,-4.2254,90.7444,16.8417,20.1368,6.3392,183221.38,0.6722
9/2/14,34.84,13.3257,1.9629,-4.2254,90.7444,16.6082,20.1368,6.3392,180680.24,0.6797
10/1/14,34.96,14.1639,1.9573,-16.6667,81.2133,16.15,19.3453,6.1301,181302.56,0.6859
11/3/14,34.84,14.1153,1.9505,-16.6667,81.2133,16.0946,19.3453,6.1301,180680.24,0.6931
12/1/14,35.06,14.2044,1.9629,-16.6667,81.2133,16.1962,19.3453,6.1301,181856.22,0.6582
1/2/15,33.87,13.6844,1.9582,-16.6667,90.6547,17.3928,7.0137,2.2032,175683.69,0.653
2/2/15,33.56,13.5591,1.9403,-16.6667,90.6547,17.2336,7.0137,2.2032,174075.72,0.6332
3/2/15,34.64,13.9955,2.0027,-16.6667,90.6547,17.7882,7.0137,2.2032,179787.4184,0.618
4/1/15,32.89,13.5848,1.9746,-10,110.7331,17.1981,6.7056,2.0025,170704.6245,0.6496
5/1/15,34.42,14.2168,2.0664,-10,110.7331,17.9981,6.7056,2.0025,178645.5815,0.6814
6/1/15,34.35,14.1879,2.0622,-10,110.7331,17.9615,6.7056,2.0025,178379.55,0.7049
7/1/15,35.57,14.2911,2.1267,-14.7059,129.9071,14.8142,6.083,1.7543,184715.01,0.6559
8/3/15,34.66,13.9255,2.0723,-14.7059,129.9071,14.4352,6.083,1.7543,213073.8054,0.678
9/1/15,32.32,12.9853,1.9324,-14.7059,129.9071,13.4606,6.083,1.7543,198800.32,0.6824
10/1/15,32.53,13.1744,1.6428,-16.6667,103.3725,12.0789,4.9506,1.5414,200092.03,0.6728
11/2/15,33.61,13.6118,1.6973,-16.6667,103.3725,12.48,4.9506,1.5414,206735.11,0.6469
12/1/15,33.77,13.6766,1.7054,-16.6667,103.3725,12.5394,4.9506,1.5414,207753.04,0.6411
